Tgl_Masuk,Kota_Domisili,Gaji_Bulanan,Jam_Kerja_Bulanan,Departemen
2018/01/01,Kota_29,8500000.0,154.0,Sales
2018/01/11,Kota_15,11000000.0,162.0,IT
2018/01/21,Kota_8,990000000.0,160.0,HR
2018/01/31,Kota_21,5100000.0,171.0,Sales
2018/02/10,Kota_19,6900000.0,189.0,HR
2018/02/20,Kota_23,,166.0,Sales
2018/03/02,Kota_11,6000000.0,169.0,Sales
2018/03/12,Kota_11,7000000.0,162.0,Sales
2018/03/22,Kota_24,7800000.0,178.0,IT
2018/04/01,Kota_24,10100000.0,168.0,IT
2018/04/11,Kota_3,7900000.0,171.0,
2018/04/21,Kota_22,8300000.0,187.0,Sales
2018/05/01,Kota_2,8800000.0,,Sales
2018/05/11,Kota_24,8800000.0,156.0,IT
2018/05/21,Kota_30,8000000.0,167.0,Sales
2018/05/31,Kota_2,6200000.0,177.0,IT
2018/06/10,Kota_21,9200000.0,168.0,Sales
2018/06/20,Kota_33,8600000.0,176.0,HR
2018/06/30,Kota_12,6400000.0,150.0,Sales
2018/07/10,Kota_22,7000000.0,147.0,Sales
2018/07/20,Kota_25,,152.0,Finance
2018/07/30,Kota_27,8900000.0,141.0,IT
2018/08/09,Kota_28,6900000.0,162.0,Sales
2018/08/19,Kota_16,7600000.0,154.0,Sales
2018/08/29,Kota_15,7800000.0,178.0,Finance
2018/09/08,Kota_3,8900000.0,141.0,Finance
2018/09/18,Kota_7,9900000.0,183.0,IT
2018/09/28,Kota_21,8100000.0,145.0,Finance
2018/10/08,Kota_9,9800000.0,141.0,HR
2018/10/18,Kota_18,9300000.0,148.0,Finance
2018/10/28,Kota_4,8300000.0,189.0,
2018/11/07,Kota_25,5800000.0,159.0,IT
2018/11/17,Kota_14,6500000.0,168.0,IT
2018/11/27,Kota_9,9100000.0,157.0,IT
2018/12/07,Kota_26,5400000.0,159.0,IT
2018/12/17,Kota_2,8200000.0,152.0,IT
2018/12/27,Kota_20,9500000.0,161.0,HR
2019/01/06,Kota_28,8200000.0,167.0,HR
2019/01/16,Kota_7,7100000.0,185.0,IT
2019/01/26,Kota_8,6700000.0,132.0,Finance
2019/02/05,Kota_14,9200000.0,184.0,Sales
2019/02/15,Kota_17,8700000.0,168.0,IT
2019/02/25,Kota_4,7600000.0,154.0,Finance
2019/03/07,Kota_2,9600000.0,152.0,Sales
2019/03/17,Kota_6,9300000.0,176.0,IT
2019/03/27,Kota_4,10700000.0,,IT
2019/04/06,Kota_29,8900000.0,137.0,HR
2019/04/16,Kota_18,7800000.0,165.0,Sales
2019/04/26,Kota_26,7800000.0,177.0,Sales
2019/05/06,Kota_34,5100000.0,173.0,Finance
2019/05/16,Kota_10,,151.0,HR
2019/05/26,Kota_14,8000000.0,140.0,HR
2019/06/05,Kota_31,6000000.0,155.0,HR
2019/06/15,Kota_15,8000000.0,209.0,HR
2019/06/25,Kota_8,10000000.0,137.0,Sales
2019/07/05,Kota_14,6900000.0,147.0,Sales
2019/07/15,Kota_23,6600000.0,166.0,IT
2019/07/25,Kota_21,9700000.0,158.0,IT
2019/08/04,Kota_16,9000000.0,157.0,HR
2019/08/14,Kota_18,12600000.0,190.0,HR
2019/08/24,Kota_24,6000000.0,147.0,HR
2019/09/03,Kota_26,9100000.0,160.0,IT
2019/09/13,Kota_25,8500000.0,163.0,Finance
2019/09/23,Kota_29,8100000.0,148.0,Finance
2019/10/03,Kota_15,9400000.0,138.0,IT
2019/10/13,Kota_1,8000000.0,164.0,IT
2019/10/23,Kota_25,5100000.0,187.0,IT
2019/11/02,Kota_7,6700000.0,166.0,IT
2019/11/12,Kota_9,10000000.0,161.0,IT
2019/11/22,Kota_24,9800000.0,161.0,IT
2019/12/02,Kota_1,7400000.0,156.0,
2019/12/12,Kota_8,8800000.0,178.0,HR
2019/12/22,Kota_24,12200000.0,152.0,HR
2020/01/01,Kota_11,8000000.0,140.0,HR
2020/01/11,Kota_17,8000000.0,136.0,IT
2020/01/21,Kota_8,8300000.0,161.0,Finance
2020/01/31,Kota_33,8900000.0,176.0,Sales
2020/02/10,Kota_5,7500000.0,164.0,IT
2020/02/20,Kota_28,8900000.0,155.0,Sales
2020/03/01,Kota_7,5100000.0,167.0,Finance
2020/03/11,Kota_9,990000000.0,163.0,HR
2020/03/21,Kota_8,8100000.0,172.0,Finance
2020/03/31,Kota_12,7700000.0,180.0,IT
2020/04/10,Kota_34,7300000.0,146.0,HR
2020/04/20,Kota_33,7100000.0,125.0,IT
2020/04/30,Kota_23,6800000.0,155.0,HR
2020/05/10,Kota_24,4500000.0,145.0,Sales
2020/05/20,Kota_22,7600000.0,172.0,Sales
2020/05/30,Kota_27,9600000.0,,Sales
2020/06/09,Kota_1,7500000.0,132.0,Finance
2020/06/19,Kota_14,9000000.0,151.0,IT
2020/06/29,Kota_3,6400000.0,138.0,Finance
2020/07/09,Kota_1,6000000.0,184.0,Sales
2020/07/19,Kota_5,6900000.0,167.0,IT
2020/07/29,Kota_26,6500000.0,170.0,Sales
2020/08/08,Kota_14,6200000.0,168.0,Finance
2020/08/18,Kota_27,8700000.0,173.0,Finance
2020/08/28,Kota_9,10700000.0,177.0,Finance
2020/09/07,Kota_15,7000000.0,152.0,Sales
2020/09/17,Kota_15,5500000.0,139.0,IT
2020/09/27,Kota_26,9000000.0,147.0,IT
2020/10/07,Kota_13,5800000.0,159.0,Sales
2020/10/17,Kota_32,6200000.0,122.0,IT
2020/10/27,Kota_32,8700000.0,177.0,Sales
2020/11/06,Kota_4,7800000.0,132.0,IT
2020/11/16,Kota_30,7000000.0,169.0,HR
2020/11/26,Kota_23,8100000.0,157.0,HR
2020/12/06,Kota_15,7400000.0,164.0,Finance
2020/12/16,Kota_29,10800000.0,153.0,HR
2020/12/26,Kota_13,7000000.0,163.0,HR
2021/01/05,Kota_32,6600000.0,153.0,HR
2021/01/15,Kota_7,7300000.0,152.0,Sales
2021/01/25,Kota_22,7400000.0,147.0,HR
2021/02/04,Kota_28,8900000.0,183.0,HR
2021/02/14,Kota_2,5000000.0,166.0,Finance
2021/02/24,Kota_6,8600000.0,163.0,HR
2021/03/06,Kota_28,7200000.0,147.0,HR
2021/03/16,Kota_28,9200000.0,156.0,IT
2021/03/26,Kota_20,7900000.0,145.0,Finance
2021/04/05,Kota_30,8800000.0,153.0,Finance
2021/04/15,Kota_11,7400000.0,142.0,Finance
2021/04/25,Kota_28,8700000.0,184.0,Finance
2021/05/05,Kota_25,10500000.0,149.0,Finance
2021/05/15,Kota_33,6900000.0,147.0,Finance
2021/05/25,Kota_1,7800000.0,140.0,Sales
2021/06/04,Kota_27,7300000.0,148.0,HR
2021/06/14,Kota_13,10400000.0,153.0,Finance
2021/06/24,Kota_3,7300000.0,159.0,HR
2021/07/04,Kota_6,6900000.0,150.0,HR
2021/07/14,Kota_8,7100000.0,136.0,Sales
2021/07/24,Kota_27,7800000.0,137.0,Finance
2021/08/03,Kota_9,6800000.0,170.0,IT
2021/08/13,Kota_33,7400000.0,158.0,Sales
2021/08/23,Kota_24,8200000.0,170.0,IT
2021/09/02,Kota_15,7800000.0,172.0,HR
2021/09/12,Kota_32,9200000.0,162.0,HR
2021/09/22,Kota_32,7500000.0,142.0,Sales
2021/10/02,Kota_24,7700000.0,163.0,Sales
2021/10/12,Kota_12,8400000.0,181.0,IT
