Tanggal,Shift,Mesin,Jumlah_Produksi,Jumlah_Cacat,Downtime (menit),Suhu_Mesin,Kelembaban
2024-01-01,Malam,D,437,,,62.96931999298172,45.55308690597641
2024-01-02,Pagi,D,459,13.0,49.0,94.53238524754114,65.63498979212858
2024-01-03,Malam,B,228,15.0,34.0,73.09947785146421,47.275203375965795
2024-01-04,Malam,A,366,13.0,32.0,72.97247514734119,53.826691332954525
2024-01-05,Pagi,C,250,11.0,32.0,88.44798485401259,75.87153639624047
2024-01-06,Pagi,C,397,18.0,60.0,93.15370020843505,58.95846561051489
2024-01-07,Malam,A,198,22.0,50.0,94.51003723380049,66.70230954084109
2024-01-08,Siang,C,362,14.0,42.0,86.36823648406296,46.89279484806519
2024-01-09,Malam,C,351,27.0,100.0,73.16908549358206,47.69156075234683
2024-01-10,Malam,A,243,1.0,11.0,62.922525084453405,41.63474465065916
2024-01-11,Malam,D,445,1.0,66.0,87.20014205746028,46.75740252288658
2024-01-12,Malam,A,211,22.0,64.0,79.54414874075317,51.14361356127834
2024-01-13,Pagi,D,159,21.0,32.0,74.84777032364417,47.08041937106987
2024-01-14,Malam,C,468,18.0,39.0,91.72240347831575,43.548101350282224
2024-01-15,Siang,C,101,24.0,73.0,63.8919118807153,44.82543484402403
2024-01-16,Pagi,C,484,,42.0,77.24187865018007,58.43115072130903
2024-01-17,Siang,B,403,29.0,43.0,60.39737756685967,48.2533487362317
2024-01-18,Siang,D,353,28.0,28.0,76.40312246979443,54.57079444192302
2024-01-19,Siang,B,239,21.0,12.0,61.970614648864306,60.136690834194276
2024-01-20,Siang,B,136,25.0,11.0,64.15862706938252,67.61579314517462
2024-01-21,Pagi,A,259,25.0,,64.11341863719868,41.57248559364396
2024-01-22,Pagi,B,108,21.0,45.0,82.72236057406222,71.9764159563617
2024-01-23,Siang,A,332,16.0,1.0,86.11157077428982,65.11601557963631
2024-01-24,Siang,A,198,19.0,114.0,80.41790677840058,43.270361277954876
2024-01-25,Pagi,B,246,9.0,113.0,93.67603919660897,74.94314496427108
2024-01-26,Pagi,D,403,5.0,34.0,73.12047028332964,76.83489602127253
2024-01-27,Pagi,D,307,14.0,86.0,69.99992301986512,42.44311839419455
