ID_Pengiriman,Nama_Pemasok,Kota_Asal,Jarak_KM,Moda_Transportasi,Tanggal_Pesan,Tanggal_Tiba_Rencana,Tanggal_Tiba_Aktual,Selisih_Hari,Biaya_Pengiriman_Ribu_Rupiah
DEL-2000,PT Bina Mandiri,Surabaya,1160,Truk,2024-01-01,2024-01-03,2024-01-04,1.0,28002.21461155539
DEL-2001,CV Sinar Utama,Surabaya,379,Truk,2024-01-02,2024-01-08,2024-01-06,-2.0,9693.085690730659
DEL-2002,PT Komponen Utama,Surabaya,596,Truk,2024-01-03,2024-01-10,2024-01-08,-2.0,10845.143370797517
DEL-2003,CV Sinar Utama,Surabaya,401,Truk,2024-01-04,2024-01-11,2024-01-11,0.0,8218.385720379698
DEL-2004,CV Sinar Utama,Bandung,280,Truk,2024-01-05,2024-01-09,2024-01-09,0.0,7367.097447967127
DEL-2005,CV Logistik Maju,Surabaya,706,Kereta,2024-01-06,2024-01-08,2024-01-07,-1.0,18008.441749909645
DEL-2006,PT Komponen Utama,Medan,799,Truk,2024-01-07,2024-01-11,2024-01-11,0.0,15865.57596919424
DEL-2007,PT Komponen Utama,Makassar,1092,Truk,2024-01-08,2024-01-13,2024-01-13,0.0,24635.499623452273
DEL-2008,PT Komponen Utama,Surabaya,290,Kapal Laut,2024-01-09,2024-01-12,2024-01-12,0.0,7665.730361084733
DEL-2009,CV Sinar Utama,Bandung,352,Truk,2024-01-10,2024-01-17,2024-01-17,0.0,8452.078721038377
DEL-2010,PT Bina Mandiri,Bandung,1080,Kapal Laut,2024-01-11,2024-01-16,,,25616.82296347438
DEL-2011,PT Komponen Utama,Surabaya,1027,Kereta,2024-01-12,2024-01-17,2024-01-17,0.0,26627.67783608378
DEL-2012,CV Sinar Utama,Makassar,227,Truk,2024-01-13,2024-01-19,2024-01-20,1.0,6226.506608558241
DEL-2013,CV Logistik Maju,Surabaya,117,Kapal Laut,2024-01-14,2024-01-17,2024-01-16,-1.0,4096.819065883999
DEL-2014,PT Bina Mandiri,Bandung,665,Kapal Laut,2024-01-15,2024-01-20,2024-01-21,1.0,14836.626069164766
DEL-2015,CV Logistik Maju,Semarang,669,Kereta,2024-01-16,2024-01-21,2024-01-21,0.0,15814.997740727891
DEL-2016,PT Bina Mandiri,Medan,785,Truk,2024-01-17,2024-01-20,2024-01-22,2.0,15276.218019940978
DEL-2017,CV Sinar Utama,Bandung,725,Truk,2024-01-18,2024-01-21,2024-01-21,0.0,14822.833761371172
DEL-2018,PT Jaya Teknik,Surabaya,953,Kapal Laut,2024-01-19,2024-01-24,2024-01-29,5.0,20349.5868730885
DEL-2019,PT Bina Mandiri,Medan,1061,Truk,2024-01-20,2024-01-23,2024-01-23,0.0,17252.216304892092
DEL-2020,CV Logistik Maju,Surabaya,254,Kapal Laut,2024-01-21,2024-01-26,2024-01-25,-1.0,5841.5856553154235
DEL-2021,CV Sinar Utama,Surabaya,589,Truk,2024-01-22,2024-01-27,2024-01-29,2.0,13636.239359306983
DEL-2022,PT Bina Mandiri,Semarang,884,Kapal Laut,2024-01-23,2024-01-29,2024-01-29,0.0,18846.900928526476
DEL-2023,PT Jaya Teknik,Medan,345,Truk,2024-01-24,2024-01-26,2024-01-26,0.0,7007.379795892133
DEL-2024,PT Jaya Teknik,Medan,1162,Kereta,2024-01-25,2024-01-30,2024-01-28,-2.0,27733.647083537027
DEL-2025,PT Komponen Utama,Semarang,858,Truk,2024-01-26,2024-01-30,,,20286.485416942025
DEL-2026,PT Komponen Utama,Bandung,637,Truk,2024-01-27,2024-02-03,2024-02-03,0.0,12172.994143865615
DEL-2027,CV Logistik Maju,Surabaya,1020,Kereta,2024-01-28,2024-01-30,2024-01-30,0.0,26127.95298211953
DEL-2028,PT Bina Mandiri,Makassar,507,Truk,2024-01-29,2024-01-31,2024-02-02,2.0,11553.939692432983
DEL-2029,PT Bina Mandiri,Surabaya,624,Kereta,2024-01-30,2024-02-01,2024-01-31,-1.0,14990.514871232397
DEL-2030,PT Komponen Utama,Surabaya,927,Truk,2024-01-31,2024-02-06,2024-02-06,0.0,20955.76936974998
DEL-2031,PT Bina Mandiri,Bandung,1002,Kapal Laut,2024-02-01,2024-02-06,2024-02-06,0.0,26071.468829849542
DEL-2032,PT Bina Mandiri,Surabaya,135,Kapal Laut,2024-02-02,2024-02-08,2024-02-06,-2.0,3592.0863782832043
DEL-2033,PT Jaya Teknik,Semarang,784,Truk,2024-02-03,2024-02-08,2024-02-08,0.0,19048.708575996592
DEL-2034,PT Komponen Utama,Semarang,119,Truk,2024-02-04,2024-02-10,2024-02-11,1.0,3729.2888247923074
DEL-2035,CV Sinar Utama,Medan,420,Truk,2024-02-05,2024-02-11,2024-02-11,0.0,8561.889324105583
DEL-2036,PT Komponen Utama,Makassar,611,Kapal Laut,2024-02-06,2024-02-13,2024-02-12,-1.0,11458.904306264338
DEL-2037,CV Sinar Utama,Surabaya,499,Truk,2024-02-07,2024-02-11,2024-02-11,0.0,12839.781800257919
DEL-2038,PT Jaya Teknik,Surabaya,753,Kapal Laut,2024-02-08,2024-02-14,2024-02-12,-2.0,15843.946385716834
DEL-2039,CV Logistik Maju,Bandung,1071,Kereta,2024-02-09,2024-02-16,2024-02-18,2.0,26108.964873620153
DEL-2040,PT Bina Mandiri,Semarang,570,Kapal Laut,2024-02-10,2024-02-13,2024-02-11,-2.0,10806.259537423673
DEL-2041,PT Jaya Teknik,Makassar,933,Kapal Laut,2024-02-11,2024-02-15,2024-02-15,0.0,19671.727898231868
DEL-2042,PT Bina Mandiri,Medan,826,Kereta,2024-02-12,2024-02-18,,,16867.731061449966
DEL-2043,CV Logistik Maju,Semarang,953,Kapal Laut,2024-02-13,2024-02-15,2024-02-15,0.0,20628.263058116994
DEL-2044,CV Logistik Maju,Medan,150,Truk,2024-02-14,2024-02-17,2024-02-20,3.0,4362.53498714949
DEL-2045,PT Jaya Teknik,Bandung,674,Truk,2024-02-15,2024-02-18,2024-02-17,-1.0,14268.584170129829
DEL-2046,CV Logistik Maju,Bandung,249,Kapal Laut,2024-02-16,2024-02-23,2024-02-24,1.0,6306.420537136482
DEL-2047,CV Sinar Utama,Surabaya,413,Truk,2024-02-17,2024-02-20,2024-02-20,0.0,9472.342884464742
DEL-2048,CV Logistik Maju,Makassar,669,Kapal Laut,2024-02-18,2024-02-22,2024-02-23,1.0,14383.440551044947
DEL-2049,PT Bina Mandiri,Medan,404,Truk,2024-02-19,2024-02-25,2024-02-23,-2.0,10726.671981358266
DEL-2050,PT Bina Mandiri,Semarang,781,Truk,2024-02-20,2024-02-26,2024-02-25,-1.0,12914.1310601994
DEL-2051,PT Bina Mandiri,Bandung,937,Kapal Laut,2024-02-21,2024-02-23,2024-02-22,-1.0,20489.442771534108
DEL-2052,PT Bina Mandiri,Surabaya,1177,Truk,2024-02-22,2024-02-29,2024-03-01,1.0,25778.614499645395
DEL-2053,CV Sinar Utama,Surabaya,1102,Kapal Laut,2024-02-23,2024-02-25,2024-02-27,2.0,25554.849305387055
DEL-2054,PT Komponen Utama,Medan,543,Truk,2024-02-24,2024-02-27,2024-02-28,1.0,12096.143767428877
DEL-2055,PT Jaya Teknik,Bandung,712,Truk,2024-02-25,2024-02-27,2024-02-25,-2.0,18417.666105855216
DEL-2056,PT Bina Mandiri,Makassar,1092,Kereta,2024-02-26,2024-03-01,2024-03-03,2.0,28389.929543053666
DEL-2057,CV Logistik Maju,Bandung,363,Kereta,2024-02-27,2024-03-04,2024-03-04,0.0,8213.138838226334
DEL-2058,PT Bina Mandiri,Medan,1176,Kapal Laut,2024-02-28,2024-03-02,2024-03-02,0.0,22047.52337430016
DEL-2059,CV Logistik Maju,Medan,1103,Kereta,2024-02-29,2024-03-02,2024-03-01,-1.0,22511.765910480546
DEL-2060,CV Logistik Maju,Bandung,104,Kapal Laut,2024-03-01,2024-03-08,2024-03-09,1.0,3582.0284437384407
DEL-2061,PT Bina Mandiri,Medan,873,Kereta,2024-03-02,2024-03-06,2024-03-05,-1.0,19710.651927589184
DEL-2062,CV Sinar Utama,Bandung,976,Truk,2024-03-03,2024-03-07,2024-03-07,0.0,24140.4426101809
DEL-2063,CV Logistik Maju,Semarang,1091,Kapal Laut,2024-03-04,2024-03-06,2024-03-08,2.0,18990.629810142334
DEL-2064,CV Logistik Maju,Bandung,983,Kapal Laut,2024-03-05,2024-03-11,2024-03-09,-2.0,16982.008288616
DEL-2065,PT Bina Mandiri,Bandung,146,Truk,2024-03-06,2024-03-08,2024-03-08,0.0,4144.0865489547905
DEL-2066,CV Logistik Maju,Medan,966,Kapal Laut,2024-03-07,2024-03-10,2024-03-09,-1.0,22163.951456555802
