ID_Kejadian,Tanggal_Kejadian,ID_Mesin,Usia_Mesin_Tahun,Penyebab_Downtime,Durasi_Downtime_Menit,Beban_Kerja_Harian_Persen,Shift_Kejadian,Biaya_Perbaikan_Ribu_Rupiah
EV-1000,2024-01-01,M07,3,Pergantian Alat (Tooling Change),32,52.1579955975288,Malam,
EV-1001,2024-01-02,M04,7,Kerusakan Mekanis,259,94.55715568490356,Siang,3788.903638416399
EV-1002,2024-01-03,M08,6,Kesalahan Operator,19,76.385055454315,Siang,4722.53205569467
EV-1003,2024-01-04,M05,8,Pergantian Alat (Tooling Change),255,99.64823980596502,Siang,1315.5487977454707
EV-1004,2024-01-05,M07,11,Kekurangan Bahan Baku,109,53.68982823676994,Malam,799.2332031504988
EV-1005,2024-01-06,M10,-9,Kerusakan Mekanis,299,77.69271422006604,Siang,3835.042921805266
EV-1006,2024-01-07,M03,14,Kerusakan Mekanis,189,98.46512678095495,Siang,3085.1290093096036
EV-1007,2024-01-08,M07,5,Pergantian Alat (Tooling Change),232,76.15489220850745,Pagi,4288.229495412224
EV-1008,2024-01-09,M08,1,Kekurangan Bahan Baku,259,81.46993190676312,Siang,1128.9756948183026
EV-1009,2024-01-10,M05,3,Kekurangan Bahan Baku,156,84.78743444923086,Siang,4078.7029033695057
EV-1010,2024-01-11,M04,10,Kesalahan Operator,105,72.72705323838866,Malam,1407.3229402148504
EV-1011,2024-01-12,M08,12,Kekurangan Bahan Baku,266,81.37790400420317,Malam,1236.4517428956701
EV-1012,2024-01-13,M08,8,Kekurangan Bahan Baku,13,79.21571559615501,Malam,
EV-1013,2024-01-14,M03,11,Kekurangan Bahan Baku,25,95.05790052454944,Malam,4165.586241041219
EV-1014,2024-01-15,M06,6,Kerusakan Elektrikal,289,52.272319017072896,Malam,3493.3874931329005
EV-1015,2024-01-16,M05,8,Kesalahan Operator,256,64.04815947961151,Malam,2853.794411461037
EV-1016,2024-01-17,M02,9,Kerusakan Mekanis,267,97.52057420382793,Siang,2114.737178555761
EV-1017,2024-01-18,M08,4,Pergantian Alat (Tooling Change),169,94.51318919454582,Malam,4447.402433658987
EV-1018,2024-01-19,M06,1,Kerusakan Mekanis,161,72.78283763928565,Malam,2266.002983401859
EV-1019,2024-01-20,M02,14,Kesalahan Operator,187,81.00662989007684,Pagi,4174.697477622097
EV-1020,2024-01-21,M05,1,Pergantian Alat (Tooling Change),172,63.86905914905663,Siang,2476.107088565983
EV-1021,2024-01-22,M01,10,Kesalahan Operator,42,59.40605798618807,Siang,2196.249932412084
EV-1022,2024-01-23,M10,4,Kekurangan Bahan Baku,188,73.18492024699911,Siang,2582.059035513229
EV-1023,2024-01-24,M06,12,Pergantian Alat (Tooling Change),110,67.66761140130264,Malam,1856.2004337386393
EV-1024,2024-01-25,M09,14,Kekurangan Bahan Baku,277,79.1828055925436,Malam,
EV-1025,2024-01-26,M01,-7,Kerusakan Mekanis,74,53.88673184824924,Malam,2762.241755416156
EV-1026,2024-01-27,M10,2,Kerusakan Mekanis,177,98.71974038330833,Pagi,1544.957128160678
EV-1027,2024-01-28,M03,3,Pergantian Alat (Tooling Change),52,99.31053722398013,Malam,4548.085579735558
EV-1028,2024-01-29,M07,1,Pergantian Alat (Tooling Change),53,84.90808570098726,Pagi,2227.5104961794514
EV-1029,2024-01-30,M04,5,Kesalahan Operator,294,76.80481831720601,Siang,2945.9878750129487
EV-1030,2024-01-31,M09,1,Kesalahan Operator,21,65.47638081431639,Malam,4579.124499340462
EV-1031,2024-02-01,M03,8,Kekurangan Bahan Baku,104,90.68975098534743,Pagi,3309.0709816129643
EV-1032,2024-02-02,M05,1,Pergantian Alat (Tooling Change),262,84.23655862769397,Pagi,1026.0411831876384
EV-1033,2024-02-03,M03,11,Kerusakan Mekanis,251,58.130846967244565,Malam,4729.244556260638
EV-1034,2024-02-04,M07,1,Kesalahan Operator,44,95.54635922469213,Siang,3324.6862388213804
EV-1035,2024-02-05,M05,2,Kesalahan Operator,224,91.12686214615846,Siang,2007.0752659568875
EV-1036,2024-02-06,M09,2,Kerusakan Mekanis,99,97.4899956645962,Siang,
EV-1037,2024-02-07,M07,12,Kesalahan Operator,273,86.28597541941801,Pagi,4073.113351716332
EV-1038,2024-02-08,M02,6,Kekurangan Bahan Baku,102,80.6707597967895,Pagi,3290.3274016783107
EV-1039,2024-02-09,M04,7,Pergantian Alat (Tooling Change),99,70.91215181453094,Pagi,2900.574913893447
EV-1040,2024-02-10,M09,5,Kerusakan Mekanis,124,96.63642416770065,Pagi,4522.516623729309
EV-1041,2024-02-11,M02,1,Pergantian Alat (Tooling Change),114,93.30319447502042,Siang,4048.6874505103883
EV-1042,2024-02-12,M10,1,Kesalahan Operator,205,52.26093350530947,Malam,1182.5369587973803
EV-1043,2024-02-13,M09,3,Kesalahan Operator,123,51.3183487248626,Pagi,1902.7493050799671
EV-1044,2024-02-14,M10,14,Kerusakan Mekanis,84,68.82316834390248,Pagi,1618.2011291650958
EV-1045,2024-02-15,M05,2,Kekurangan Bahan Baku,226,90.52766653909165,Siang,3847.7583165770466
EV-1046,2024-02-16,M02,5,Kerusakan Elektrikal,286,99.36380646574722,Malam,650.8959563110072
EV-1047,2024-02-17,M04,12,Kerusakan Mekanis,258,57.52084455517641,Malam,3064.5035819209243
EV-1048,2024-02-18,M07,10,Kerusakan Elektrikal,173,79.70653576760675,Siang,
EV-1049,2024-02-19,M08,6,Kerusakan Elektrikal,201,69.04454283155107,Siang,4445.445365427873
EV-1050,2024-02-20,M03,7,Kekurangan Bahan Baku,236,98.49571989073016,Malam,2039.3678692215835
EV-1051,2024-02-21,M01,4,Kerusakan Elektrikal,186,92.10594615678544,Pagi,4195.657871024057
EV-1052,2024-02-22,M04,7,Kerusakan Elektrikal,108,91.91643523555689,Malam,997.8428162984326
EV-1053,2024-02-23,M02,11,Kekurangan Bahan Baku,45,73.43465798974852,Siang,4309.035312805332
EV-1054,2024-02-24,M08,8,Kerusakan Elektrikal,105,70.74097511688326,Pagi,1073.6989804939208
EV-1055,2024-02-25,M04,11,Kerusakan Elektrikal,161,63.670353596535314,Pagi,2287.792807521653
EV-1056,2024-02-26,M02,1,Kerusakan Elektrikal,160,52.81877483254635,Siang,4087.8291460079913
EV-1057,2024-02-27,M06,6,Kerusakan Mekanis,199,93.23611881275266,Siang,1174.6284230694819
EV-1058,2024-02-28,M06,8,Kerusakan Mekanis,233,90.64505045650388,Siang,1531.6312785468867
EV-1059,2024-02-29,M10,5,Kerusakan Mekanis,46,99.98588366430653,Malam,3750.1365577687984
EV-1060,2024-03-01,M04,-4,Kekurangan Bahan Baku,277,99.83184185369527,Malam,
EV-1061,2024-03-02,M06,2,Kesalahan Operator,192,77.77158528013138,Pagi,3385.164347983838
EV-1062,2024-03-03,M02,6,Kerusakan Elektrikal,22,88.44937075902553,Siang,3622.7680001019503
EV-1063,2024-03-04,M10,6,Kerusakan Elektrikal,288,97.23828649412141,Pagi,2942.259995064183
EV-1064,2024-03-05,M02,11,Kekurangan Bahan Baku,226,92.48236953387058,Pagi,1633.0957650812875
EV-1065,2024-03-06,M10,1,Kerusakan Elektrikal,295,62.36740508715988,Pagi,2055.6319707676375
EV-1066,2024-03-07,M04,9,Kerusakan Mekanis,282,72.52720676550467,Pagi,1317.1897256064155
EV-1067,2024-03-08,M08,12,Kesalahan Operator,71,56.45797075757475,Siang,4588.027526001328
EV-1068,2024-03-09,M07,11,Pergantian Alat (Tooling Change),93,97.70255136293612,Pagi,3125.263076447542
EV-1069,2024-03-10,M09,6,Kerusakan Elektrikal,226,80.308731722544,Siang,2303.8313754363794
EV-1070,2024-03-11,M08,13,Kerusakan Mekanis,196,61.43214027517314,Siang,2579.026116398597
EV-1071,2024-03-12,M05,3,Pergantian Alat (Tooling Change),28,83.58503422029284,Malam,4762.775028253169
EV-1072,2024-03-13,M02,4,Kesalahan Operator,186,80.90641202289478,Siang,
EV-1073,2024-03-14,M05,12,Pergantian Alat (Tooling Change),109,67.90813590164203,Malam,3138.0342440755876
EV-1074,2024-03-15,M08,11,Kerusakan Mekanis,242,55.67787960998145,Siang,2776.499054980097
EV-1075,2024-03-16,M10,4,Pergantian Alat (Tooling Change),85,83.57865977963998,Siang,3251.5440594559154
EV-1076,2024-03-17,M09,3,Kekurangan Bahan Baku,274,76.01538504518966,Siang,581.4958271937822
EV-1077,2024-03-18,M09,10,Pergantian Alat (Tooling Change),293,88.61591958678196,Malam,4424.557590248682
EV-1078,2024-03-19,M01,3,Kerusakan Elektrikal,215,76.00817505559966,Malam,4694.532271176256
EV-1079,2024-03-20,M09,3,Kerusakan Elektrikal,232,92.609075015927,Pagi,3043.0993261514404
EV-1080,2024-03-21,M07,4,Kekurangan Bahan Baku,61,77.59534193872427,Malam,3634.9287074460153
EV-1081,2024-03-22,M09,7,Kerusakan Mekanis,153,78.04689857676931,Malam,4651.247215297831
EV-1082,2024-03-23,M08,4,Kerusakan Elektrikal,78,93.83268013291726,Malam,3682.5738544102937
EV-1083,2024-03-24,M01,9,Kesalahan Operator,108,70.17414331061985,Malam,1186.425693114176
EV-1084,2024-03-25,M08,1,Kerusakan Elektrikal,34,56.70076142253204,Pagi,
EV-1085,2024-03-26,M08,8,Kerusakan Elektrikal,62,51.43913381566695,Malam,3230.2177087228515
