ID_Pengujian,Tanggal_Uji,ID_Sensor,Kategori_Komponen,Suhu_Celcius,Kelembaban_Persen,Tegangan_Volt,Arus_mA
TEST-3000,2024-02-01,SNS-C3,Induktor,24.0,47.8,4.91,18.5
TEST-3001,2024-02-02,SNS-D4,Induktor,26.5,59.5,4.88,23.1
TEST-3002,2024-02-03,SNS-A1,Resistor,24.8,57.9,4.99,14.8
TEST-3003,2024-02-04,SNS-C3,Induktor,19.2,67.7,4.94,45.6
TEST-3004,2024-02-05,SNS-C3,Resistor,30.7,68.6,5.03,33.7
TEST-3005,2024-02-06,SNS-D4,Kapasitor,-99.0,42.0,4.83,37.2
TEST-3006,2024-02-07,SNS-A1,Induktor,29.0,56.9,5.19,41.6
TEST-3007,2024-02-08,SNS-A1,Kapasitor,20.5,68.2,5.19,29.9
TEST-3008,2024-02-09,SNS-C3,Resistor,32.0,62.6,5.08,13.5
TEST-3009,2024-02-10,SNS-B2,Transistor,18.0,78.5,5.01,31.5
TEST-3010,2024-02-11,SNS-C3,Induktor,27.9,69.6,4.92,33.5
TEST-3011,2024-02-12,SNS-C3,Resistor,36.0,47.3,5.13,39.8
TEST-3012,2024-02-13,SNS-C3,Transistor,20.0,43.2,,27.3
TEST-3013,2024-02-14,SNS-C3,Transistor,22.2,68.9,4.87,15.1
TEST-3014,2024-02-15,SNS-D4,Kapasitor,25.5,41.2,5.16,21.4
TEST-3015,2024-02-16,SNS-A1,Resistor,22.5,66.4,5.13,24.5
TEST-3016,2024-02-17,SNS-D4,Transistor,17.2,82.3,5.18,35.8
TEST-3017,2024-02-18,SNS-D4,Induktor,25.3,65.9,5.09,32.8
TEST-3018,2024-02-19,SNS-D4,Induktor,19.7,57.5,5.05,24.2
TEST-3019,2024-02-20,SNS-C3,Kapasitor,27.4,68.9,4.97,49.5
TEST-3020,2024-02-21,SNS-B2,Transistor,-99.0,60.6,5.17,34.2
TEST-3021,2024-02-22,SNS-A1,Resistor,32.7,64.6,5.15,19.5
TEST-3022,2024-02-23,SNS-B2,Induktor,21.1,82.4,4.82,14.1
TEST-3023,2024-02-24,SNS-D4,Transistor,23.4,57.4,4.81,16.1
TEST-3024,2024-02-25,SNS-D4,Transistor,29.1,83.3,4.95,19.8
TEST-3025,2024-02-26,SNS-B2,Kapasitor,18.8,80.7,5.12,16.4
TEST-3026,2024-02-27,SNS-B2,Induktor,26.1,48.8,5.19,17.5
TEST-3027,2024-02-28,SNS-B2,Induktor,31.5,43.1,4.86,21.4
TEST-3028,2024-02-29,SNS-D4,Resistor,17.0,44.5,5.04,16.9
TEST-3029,2024-03-01,SNS-D4,Induktor,25.9,40.8,4.95,45.9
TEST-3030,2024-03-02,SNS-A1,Resistor,26.3,44.2,5.19,13.2
TEST-3031,2024-03-03,SNS-A1,Induktor,28.9,70.7,5.14,31.0
TEST-3032,2024-03-04,SNS-D4,Kapasitor,18.8,43.2,5.14,26.4
TEST-3033,2024-03-05,SNS-B2,Induktor,18.4,54.4,4.99,49.3
TEST-3034,2024-03-06,SNS-B2,Resistor,27.6,78.0,4.97,14.5
TEST-3035,2024-03-07,SNS-A1,Resistor,26.5,41.0,4.91,25.9
TEST-3036,2024-03-08,SNS-D4,Kapasitor,26.3,76.7,4.82,48.8
TEST-3037,2024-03-09,SNS-A1,Induktor,26.7,52.7,5.15,44.6
TEST-3038,2024-03-10,SNS-A1,Induktor,21.6,45.3,5.13,42.7
TEST-3039,2024-03-11,SNS-C3,Kapasitor,26.2,71.4,5.2,20.3
TEST-3040,2024-03-12,SNS-C3,Induktor,26.5,68.3,5.2,16.8
TEST-3041,2024-03-13,SNS-C3,Induktor,21.4,79.5,5.02,36.7
TEST-3042,2024-03-14,SNS-B2,Resistor,34.3,73.1,5.11,47.2
TEST-3043,2024-03-15,SNS-D4,Induktor,27.4,76.2,5.18,32.3
TEST-3044,2024-03-16,SNS-D4,Induktor,19.0,52.7,5.14,32.9
TEST-3045,2024-03-17,SNS-D4,Kapasitor,28.3,48.0,,21.2
TEST-3046,2024-03-18,SNS-D4,Kapasitor,20.1,73.8,4.98,40.8
TEST-3047,2024-03-19,SNS-C3,Transistor,28.9,76.3,4.85,17.5
TEST-3048,2024-03-20,SNS-B2,Resistor,30.8,84.6,5.18,22.9
TEST-3049,2024-03-21,SNS-B2,Induktor,20.9,58.6,5.04,27.0
TEST-3050,2024-03-22,SNS-C3,Induktor,-99.0,56.7,4.89,30.3
TEST-3051,2024-03-23,SNS-B2,Transistor,27.1,74.9,5.07,19.7
TEST-3052,2024-03-24,SNS-C3,Induktor,29.1,55.3,5.05,14.6
TEST-3053,2024-03-25,SNS-D4,Resistor,34.5,81.9,4.94,34.4
TEST-3054,2024-03-26,SNS-C3,Transistor,23.8,78.6,4.85,21.5
TEST-3055,2024-03-27,SNS-D4,Resistor,21.2,59.3,5.07,33.2
TEST-3056,2024-03-28,SNS-D4,Transistor,20.6,73.8,5.01,16.2
TEST-3057,2024-03-29,SNS-A1,Transistor,20.9,74.0,5.11,29.2
TEST-3058,2024-03-30,SNS-C3,Kapasitor,24.6,44.6,5.01,31.3
TEST-3059,2024-03-31,SNS-A1,Resistor,26.7,80.6,5.14,12.1
TEST-3060,2024-04-01,SNS-C3,Induktor,26.4,62.7,5.02,23.5
TEST-3061,2024-04-02,SNS-C3,Induktor,29.1,77.2,5.02,15.4
TEST-3062,2024-04-03,SNS-A1,Resistor,25.1,54.4,5.15,12.5
TEST-3063,2024-04-04,SNS-A1,Induktor,32.3,80.3,4.96,49.6
TEST-3064,2024-04-05,SNS-C3,Induktor,23.7,57.5,4.85,22.9
TEST-3065,2024-04-06,SNS-B2,Resistor,38.6,40.5,4.81,42.4
TEST-3066,2024-04-07,SNS-D4,Transistor,28.1,80.7,5.1,20.2
TEST-3067,2024-04-08,SNS-A1,Resistor,20.7,44.1,5.05,37.3
